,id,brand_name,Product_category,target_age,target_gender,target_location,Influencer_name,Handle,Followers,Posts,Likes,Category,Sentiment,audience_location,audience_age,audience_Gender,Platform,Engagement_rate,Interaction,Tags
125,126,Brand59,Nutrition Products,25-34,Female,Karnataka,Isabella Moore,@john.smith,194994,406,37847,"nutrition, products",Negative,karnataka,"25, 34",male,twitter,19.40931516,1,"nutrition, products, karnataka, 25, 34, male, twitter"
126,127,Brand32,Fitness Equipment,22-40,Male,India,Emma Taylor,@john.smith,420236,94,36731,"fitness, equipment",Negative,india,"22, 40",female,instagram,8.740564825,1,"fitness, equipment, india, 22, 40, female, instagram"
127,128,Brand4,Pet Supplies,18-25,All,Kerala,Noah Davis,@john.smith,223769,259,47856,"pet, supplies",Neutral,kerala,"18, 25",female,facebook,21.38634038,1,"pet, supplies, kerala, 18, 25, female, facebook"
128,129,Brand59,Cosmetics,22-40,All,Karnataka,Emma Taylor,@john.smith,656987,911,32191,cosmetics,Negative,karnataka,"22, 40",male,instagram,4.899792538,0,"cosmetics, karnataka, 22, 40, male, instagram"
129,130,Brand46,Cosmetics,22-40,Male,Goa,Mason White,@emma.t,866294,916,19657,cosmetics,Negative,goa,"22, 40",female,twitter,2.269091094,0,"cosmetics, goa, 22, 40, female, twitter"
130,131,Brand64,Food Products,30-45,Male,Madhya Pradesh,Emma Taylor,@liam.brown,864140,543,29948,"food, products",Positive,"madhya, pradesh","30, 45",,facebook,3.465642141,0,"food, products, madhya, pradesh, 30, 45, , facebook"
131,132,Brand63,Eco-friendly Goods,All,Male,Maharashtra,Olivia Clark,@emma.t,917580,232,48466,"eco, friendly, goods",Neutral,maharashtra,,,youtube,5.28193727,1,"eco, friendly, goods, maharashtra, , , youtube"
132,133,Brand66,Fashion Accessories,All,Male,Delhi,Isabella Moore,@olivia.c,586814,623,18040,"fashion, accessories",Neutral,delhi,,female,facebook,3.07422795,0,"fashion, accessories, delhi, , female, facebook"
133,134,Brand64,Cosmetics,All,All,Delhi,Olivia Clark,@isabella.m,208616,189,41650,cosmetics,Negative,delhi,,female,twitter,19.96491161,1,"cosmetics, delhi, , female, twitter"
134,135,Brand67,Pet Supplies,25-34,All,Tamil Nadu,Liam Brown,@olivia.c,520363,744,10408,"pet, supplies",Positive,"tamil, nadu","25, 34",female,tiktok,2.000142208,0,"pet, supplies, tamil, nadu, 25, 34, female, tiktok"
135,136,Brand85,Cosmetics,25-40,Male,Delhi,John Smith,@sophia.w,346746,68,48200,cosmetics,Negative,delhi,"25, 40",,twitter,13.90066504,1,"cosmetics, delhi, 25, 40, , twitter"
136,137,Brand25,Gaming Products,25-34,Male,Uttar Pradesh,John Smith,@mia.lee,816903,610,24956,"gaming, products",Negative,"uttar, pradesh","25, 34",female,instagram,3.054952669,0,"gaming, products, uttar, pradesh, 25, 34, female, instagram"
137,138,Brand58,Travel Services,30-45,Female,India,Isabella Moore,@mason.w,248701,166,43643,"travel, services",Neutral,india,"30, 45",male,youtube,17.54838139,1,"travel, services, india, 30, 45, male, youtube"
138,139,Brand77,Food Products,18-28,All,Maharashtra,Noah Davis,@sophia.w,532252,676,40628,"food, products",Neutral,maharashtra,"18, 28",male,instagram,7.633226366,1,"food, products, maharashtra, 18, 28, male, instagram"
139,140,Brand40,Pet Supplies,25-34,All,Delhi,Sophia Wilson,@noah.d,470874,401,44356,"pet, supplies",Positive,delhi,"25, 34",female,twitter,9.419929748,1,"pet, supplies, delhi, 25, 34, female, twitter"
140,141,Brand30,Clothing,18-30,All,Uttar Pradesh,Sophia Wilson,@john.smith,556836,85,33536,clothing,Neutral,"uttar, pradesh","18, 30",,twitter,6.022599114,1,"clothing, uttar, pradesh, 18, 30, , twitter"
141,142,Brand95,Home Appliances,18-30,Male,Rajasthan,John Smith,@emma.t,310014,916,38902,"home, appliances",Neutral,rajasthan,"18, 30",,youtube,12.54846555,1,"home, appliances, rajasthan, 18, 30, , youtube"
142,143,Brand33,Cosmetics,40-50,Female,Kerala,Liam Brown,@isabella.m,603109,625,48132,cosmetics,Negative,kerala,"40, 50",,instagram,7.980646948,1,"cosmetics, kerala, 40, 50, , instagram"
143,144,Brand69,Fitness Equipment,30-45,All,Karnataka,Noah Davis,@noah.d,340263,684,40648,"fitness, equipment",Neutral,karnataka,"30, 45",female,tiktok,11.94605349,1,"fitness, equipment, karnataka, 30, 45, female, tiktok"
144,145,Brand6,Travel Services,18-25,Female,Haryana,Sophia Wilson,@olivia.c,977050,974,47448,"travel, services",Neutral,haryana,"18, 25",female,instagram,4.85625096,0,"travel, services, haryana, 18, 25, female, instagram"
145,146,Brand37,Fashion Accessories,18-25,All,Haryana,Olivia Clark,@john.smith,374760,545,27702,"fashion, accessories",Neutral,haryana,"18, 25",female,twitter,7.391930836,1,"fashion, accessories, haryana, 18, 25, female, twitter"
146,147,Brand53,Fashion Accessories,22-40,Male,Punjab,Mia Lee,@olivia.c,341917,289,9902,"fashion, accessories",Negative,punjab,"22, 40",male,twitter,2.896024474,0,"fashion, accessories, punjab, 22, 40, male, twitter"
147,148,Brand13,Travel Services,40-50,All,Punjab,Isabella Moore,@jane.doe,739610,273,40890,"travel, services",Negative,punjab,"40, 50",female,facebook,5.528589392,1,"travel, services, punjab, 40, 50, female, facebook"
148,149,Brand99,Gadgets,22-40,Male,Maharashtra,Mia Lee,@jane.doe,738185,54,38307,gadgets,Positive,maharashtra,"22, 40",male,tiktok,5.189349553,1,"gadgets, maharashtra, 22, 40, male, tiktok"
149,150,Brand21,Eco-friendly Goods,18-30,Male,Tamil Nadu,Mia Lee,@mia.lee,526459,941,46195,"eco, friendly, goods",Positive,"tamil, nadu","18, 30",male,twitter,8.774662414,1,"eco, friendly, goods, tamil, nadu, 18, 30, male, twitter"
150,151,Brand3,Books,18-28,Male,Gujarat,John Smith,@sophia.w,990005,212,12087,books,Neutral,gujarat,"18, 28",female,youtube,1.220902925,0,"books, gujarat, 18, 28, female, youtube"
151,152,Brand91,Travel Services,18-28,Female,Uttar Pradesh,Mia Lee,@sophia.w,531250,965,6593,"travel, services",Neutral,"uttar, pradesh","18, 28",,youtube,1.241035294,0,"travel, services, uttar, pradesh, 18, 28, , youtube"
152,153,Brand14,Fashion Accessories,18-30,Male,West Bengal,Jane Doe,@mia.lee,451617,451,28116,"fashion, accessories",Positive,"west, bengal","18, 30",female,youtube,6.225629239,1,"fashion, accessories, west, bengal, 18, 30, female, youtube"
153,154,Brand47,Gaming Products,18-30,Female,Maharashtra,Jane Doe,@mason.w,585098,60,29161,"gaming, products",Neutral,maharashtra,"18, 30",female,youtube,4.983951406,0,"gaming, products, maharashtra, 18, 30, female, youtube"
154,155,Brand6,Cosmetics,18-28,All,Maharashtra,Sophia Wilson,@jane.doe,419592,266,25549,cosmetics,Neutral,maharashtra,"18, 28",,youtube,6.089010277,1,"cosmetics, maharashtra, 18, 28, , youtube"
155,156,Brand28,Travel Services,40-50,Male,Rajasthan,Mia Lee,@emma.t,219477,370,49270,"travel, services",Negative,rajasthan,"40, 50",,facebook,22.44882152,1,"travel, services, rajasthan, 40, 50, , facebook"
156,157,Brand11,Fitness Equipment,18-28,Female,Bihar,Jane Doe,@mia.lee,809967,133,22413,"fitness, equipment",Negative,bihar,"18, 28",,facebook,2.767149773,0,"fitness, equipment, bihar, 18, 28, , facebook"
157,158,Brand45,Art Supplies,40-50,Female,Bihar,Isabella Moore,@noah.d,263274,87,17265,"art, supplies",Neutral,bihar,"40, 50",female,youtube,6.557806696,1,"art, supplies, bihar, 40, 50, female, youtube"
158,159,Brand30,Pet Supplies,All,Female,Haryana,Olivia Clark,@noah.d,985901,61,38872,"pet, supplies",Positive,haryana,,,twitter,3.942789388,0,"pet, supplies, haryana, , , twitter"
159,160,Brand51,Gaming Products,All,Female,West Bengal,Emma Taylor,@john.smith,273889,171,42000,"gaming, products",Negative,"west, bengal",,male,youtube,15.33467938,1,"gaming, products, west, bengal, , male, youtube"
160,161,Brand30,Travel Services,40-50,Female,Goa,Mia Lee,@liam.brown,419896,915,34371,"travel, services",Positive,goa,"40, 50",,instagram,8.185598339,1,"travel, services, goa, 40, 50, , instagram"
161,162,Brand19,Fitness Equipment,18-25,Female,Rajasthan,Mia Lee,@liam.brown,761467,761,16033,"fitness, equipment",Positive,rajasthan,"18, 25",,instagram,2.105541015,0,"fitness, equipment, rajasthan, 18, 25, , instagram"
162,163,Brand84,Nutrition Products,18-30,All,Delhi,Mia Lee,@isabella.m,609410,533,17527,"nutrition, products",Negative,delhi,"18, 30",female,youtube,2.876060452,0,"nutrition, products, delhi, 18, 30, female, youtube"
163,164,Brand37,Gadgets,30-45,Male,Madhya Pradesh,Mia Lee,@mia.lee,840086,709,11630,gadgets,Positive,"madhya, pradesh","30, 45",female,facebook,1.384382075,0,"gadgets, madhya, pradesh, 30, 45, female, facebook"
164,165,Brand41,Fashion Accessories,25-34,Male,Tamil Nadu,Isabella Moore,@john.smith,275737,955,23854,"fashion, accessories",Positive,"tamil, nadu","25, 34",female,twitter,8.650997146,1,"fashion, accessories, tamil, nadu, 25, 34, female, twitter"
165,166,Brand15,Smartphones,25-40,Male,Punjab,Sophia Wilson,@emma.t,288676,273,36314,smartphones,Positive,punjab,"25, 40",female,youtube,12.57950089,1,"smartphones, punjab, 25, 40, female, youtube"
166,167,Brand27,Home Appliances,18-25,Male,Madhya Pradesh,Mason White,@mia.lee,451849,881,5385,"home, appliances",Neutral,"madhya, pradesh","18, 25",male,youtube,1.191769817,0,"home, appliances, madhya, pradesh, 18, 25, male, youtube"
167,168,Brand36,Smartphones,25-40,Female,Haryana,Jane Doe,@liam.brown,624631,201,19367,smartphones,Neutral,haryana,"25, 40",female,tiktok,3.100550565,0,"smartphones, haryana, 25, 40, female, tiktok"
168,169,Brand64,Fashion Accessories,30-45,Female,India,Noah Davis,@sophia.w,514682,845,44576,"fashion, accessories",Neutral,india,"30, 45",female,tiktok,8.660881865,1,"fashion, accessories, india, 30, 45, female, tiktok"
169,170,Brand61,Books,25-40,Male,Rajasthan,Jane Doe,@mia.lee,953931,654,38093,books,Negative,rajasthan,"25, 40",female,tiktok,3.99326576,0,"books, rajasthan, 25, 40, female, tiktok"
170,171,Brand17,Pet Supplies,25-40,Male,West Bengal,Jane Doe,@olivia.c,588875,319,6160,"pet, supplies",Negative,"west, bengal","25, 40",female,youtube,1.046062407,0,"pet, supplies, west, bengal, 25, 40, female, youtube"
171,172,Brand97,Pet Supplies,40-50,Female,Delhi,Jane Doe,@isabella.m,507610,855,13049,"pet, supplies",Neutral,delhi,"40, 50",,instagram,2.570674337,0,"pet, supplies, delhi, 40, 50, , instagram"
172,173,Brand11,Gaming Products,18-30,All,Haryana,Jane Doe,@isabella.m,533332,665,43124,"gaming, products",Positive,haryana,"18, 30",female,facebook,8.085770214,1,"gaming, products, haryana, 18, 30, female, facebook"
173,174,Brand62,Clothing,25-40,Female,Tamil Nadu,John Smith,@jane.doe,909840,242,11766,clothing,Neutral,"tamil, nadu","25, 40",,instagram,1.293194408,0,"clothing, tamil, nadu, 25, 40, , instagram"
174,175,Brand70,Gaming Products,15-24,Female,Punjab,Liam Brown,@jane.doe,387589,429,42871,"gaming, products",Neutral,punjab,"15, 24",,tiktok,11.06094342,1,"gaming, products, punjab, 15, 24, , tiktok"
175,176,Brand30,Gaming Products,15-24,Male,Rajasthan,Sophia Wilson,@liam.brown,500922,842,49984,"gaming, products",Neutral,rajasthan,"15, 24",female,twitter,9.978399831,1,"gaming, products, rajasthan, 15, 24, female, twitter"
176,177,Brand93,Travel Services,All,Female,Uttar Pradesh,Mia Lee,@sophia.w,750787,700,26258,"travel, services",Positive,"uttar, pradesh",,male,instagram,3.497396732,0,"travel, services, uttar, pradesh, , male, instagram"
177,178,Brand73,Nutrition Products,18-30,Male,Punjab,Sophia Wilson,@mia.lee,824940,135,48299,"nutrition, products",Positive,punjab,"18, 30",,facebook,5.85485005,1,"nutrition, products, punjab, 18, 30, , facebook"
178,179,Brand57,Eco-friendly Goods,18-28,Female,India,Noah Davis,@emma.t,854415,962,47855,"eco, friendly, goods",Neutral,india,"18, 28",male,tiktok,5.600908224,1,"eco, friendly, goods, india, 18, 28, male, tiktok"
179,180,Brand38,Food Products,40-50,Male,Goa,John Smith,@liam.brown,938879,735,33526,"food, products",Positive,goa,"40, 50",female,facebook,3.570854178,0,"food, products, goa, 40, 50, female, facebook"
180,181,Brand52,Fashion Accessories,25-40,Female,Delhi,Isabella Moore,@noah.d,886367,567,41164,"fashion, accessories",Positive,delhi,"25, 40",male,facebook,4.644125966,0,"fashion, accessories, delhi, 25, 40, male, facebook"
181,182,Brand100,Home Appliances,15-24,All,Madhya Pradesh,Mason White,@liam.brown,228917,898,38371,"home, appliances",Neutral,"madhya, pradesh","15, 24",,youtube,16.7619705,1,"home, appliances, madhya, pradesh, 15, 24, , youtube"
182,183,Brand9,Nutrition Products,25-40,Male,Kerala,Isabella Moore,@isabella.m,419145,735,46320,"nutrition, products",Neutral,kerala,"25, 40",female,tiktok,11.05106825,1,"nutrition, products, kerala, 25, 40, female, tiktok"
183,184,Brand56,Gadgets,25-34,Female,West Bengal,Mia Lee,@noah.d,777431,823,47241,gadgets,Neutral,"west, bengal","25, 34",male,tiktok,6.076552131,1,"gadgets, west, bengal, 25, 34, male, tiktok"
184,185,Brand57,Art Supplies,25-34,All,Gujarat,Mason White,@emma.t,992036,139,42327,"art, supplies",Neutral,gujarat,"25, 34",female,tiktok,4.266679838,0,"art, supplies, gujarat, 25, 34, female, tiktok"
185,186,Brand55,Gaming Products,18-25,Male,Uttar Pradesh,Olivia Clark,@mason.w,681111,696,40800,"gaming, products",Positive,"uttar, pradesh","18, 25",female,youtube,5.990213049,1,"gaming, products, uttar, pradesh, 18, 25, female, youtube"
186,187,Brand34,Gaming Products,18-25,Female,Karnataka,Sophia Wilson,@sophia.w,826187,613,35617,"gaming, products",Negative,karnataka,"18, 25",,youtube,4.311009493,0,"gaming, products, karnataka, 18, 25, , youtube"
187,188,Brand23,Food Products,All,All,Delhi,Sophia Wilson,@emma.t,939354,657,45083,"food, products",Neutral,delhi,,,tiktok,4.799362115,0,"food, products, delhi, , , tiktok"
188,189,Brand85,Home Appliances,22-40,Female,Maharashtra,Liam Brown,@jane.doe,893443,776,45049,"home, appliances",Neutral,maharashtra,"22, 40",,instagram,5.042179523,1,"home, appliances, maharashtra, 22, 40, , instagram"
189,190,Brand70,Art Supplies,25-40,All,West Bengal,Noah Davis,@isabella.m,846757,610,29763,"art, supplies",Neutral,"west, bengal","25, 40",female,twitter,3.514939941,0,"art, supplies, west, bengal, 25, 40, female, twitter"
190,191,Brand54,Food Products,40-50,Male,Bihar,Noah Davis,@liam.brown,436706,607,48866,"food, products",Positive,bihar,"40, 50",male,youtube,11.1896791,1,"food, products, bihar, 40, 50, male, youtube"
191,192,Brand13,Books,15-24,Female,Maharashtra,Sophia Wilson,@liam.brown,633497,257,28611,books,Negative,maharashtra,"15, 24",,instagram,4.516359193,0,"books, maharashtra, 15, 24, , instagram"
192,193,Brand11,Gaming Products,40-50,Male,Haryana,Sophia Wilson,@mason.w,315204,355,21346,"gaming, products",Neutral,haryana,"40, 50",male,tiktok,6.772122181,1,"gaming, products, haryana, 40, 50, male, tiktok"
193,194,Brand24,Art Supplies,30-45,All,Delhi,Olivia Clark,@noah.d,924261,985,49562,"art, supplies",Neutral,delhi,"30, 45",female,twitter,5.362338127,1,"art, supplies, delhi, 30, 45, female, twitter"
194,195,Brand20,Smartphones,18-28,Female,Kerala,Liam Brown,@jane.doe,345548,451,14205,smartphones,Positive,kerala,"18, 28",,youtube,4.110861588,0,"smartphones, kerala, 18, 28, , youtube"
195,196,Brand70,Smartphones,18-28,All,West Bengal,Olivia Clark,@liam.brown,779710,741,5388,smartphones,Positive,"west, bengal","18, 28",male,tiktok,0.691026151,0,"smartphones, west, bengal, 18, 28, male, tiktok"
196,197,Brand23,Art Supplies,30-45,Male,India,Olivia Clark,@mason.w,290740,902,29172,"art, supplies",Positive,india,"30, 45",,tiktok,10.03370709,1,"art, supplies, india, 30, 45, , tiktok"
197,198,Brand63,Gaming Products,25-34,Male,Haryana,Emma Taylor,@noah.d,138924,791,11409,"gaming, products",Negative,haryana,"25, 34",male,tiktok,8.212403904,1,"gaming, products, haryana, 25, 34, male, tiktok"
198,199,Brand84,Cosmetics,All,Male,Gujarat,Emma Taylor,@olivia.c,788120,888,39152,cosmetics,Negative,gujarat,,,youtube,4.967771405,0,"cosmetics, gujarat, , , youtube"
199,200,Brand73,Fashion Accessories,30-45,Female,Maharashtra,Olivia Clark,@olivia.c,216394,110,45746,"fashion, accessories",Positive,maharashtra,"30, 45",,instagram,21.14014252,1,"fashion, accessories, maharashtra, 30, 45, , instagram"
200,201,Brand72,Eco-friendly Goods,25-34,Male,Goa,Mason White,@sophia.w,426210,514,40567,"eco, friendly, goods",Neutral,goa,"25, 34",female,instagram,9.518077943,1,"eco, friendly, goods, goa, 25, 34, female, instagram"
201,202,Brand27,Books,15-24,Female,Goa,Noah Davis,@isabella.m,574655,721,9808,books,Positive,goa,"15, 24",,facebook,1.706763188,0,"books, goa, 15, 24, , facebook"
202,203,Brand29,Gaming Products,18-28,Female,Gujarat,Emma Taylor,@mia.lee,273654,319,45801,"gaming, products",Negative,gujarat,"18, 28",female,facebook,16.73682826,1,"gaming, products, gujarat, 18, 28, female, facebook"
203,204,Brand44,Cosmetics,15-24,All,Tamil Nadu,Sophia Wilson,@isabella.m,788474,340,8126,cosmetics,Negative,"tamil, nadu","15, 24",,tiktok,1.030598346,0,"cosmetics, tamil, nadu, 15, 24, , tiktok"
204,205,Brand7,Art Supplies,18-30,Male,Rajasthan,Liam Brown,@sophia.w,408253,933,48495,"art, supplies",Positive,rajasthan,"18, 30",,youtube,11.87866348,1,"art, supplies, rajasthan, 18, 30, , youtube"
205,206,Brand47,Fitness Equipment,15-24,Male,West Bengal,Olivia Clark,@sophia.w,578181,530,45544,"fitness, equipment",Positive,"west, bengal","15, 24",male,instagram,7.877118065,1,"fitness, equipment, west, bengal, 15, 24, male, instagram"
206,207,Brand43,Fitness Equipment,18-28,Female,Punjab,Mason White,@liam.brown,289008,483,21971,"fitness, equipment",Negative,punjab,"18, 28",male,youtube,7.602211703,1,"fitness, equipment, punjab, 18, 28, male, youtube"
207,208,Brand90,Home Appliances,18-30,Male,Rajasthan,Liam Brown,@john.smith,954293,395,27226,"home, appliances",Negative,rajasthan,"18, 30",,facebook,2.85300217,0,"home, appliances, rajasthan, 18, 30, , facebook"
208,209,Brand11,Smartphones,18-28,Male,Karnataka,Olivia Clark,@liam.brown,241853,186,23789,smartphones,Neutral,karnataka,"18, 28",male,instagram,9.836140135,1,"smartphones, karnataka, 18, 28, male, instagram"
209,210,Brand68,Cosmetics,40-50,All,Gujarat,Emma Taylor,@mason.w,365982,809,39109,cosmetics,Negative,gujarat,"40, 50",,tiktok,10.68604467,1,"cosmetics, gujarat, 40, 50, , tiktok"
210,211,Brand21,Gaming Products,25-40,Male,India,Sophia Wilson,@liam.brown,319310,931,32799,"gaming, products",Positive,india,"25, 40",,instagram,10.27183615,1,"gaming, products, india, 25, 40, , instagram"
211,212,Brand19,Fitness Equipment,25-40,Female,Karnataka,Olivia Clark,@noah.d,788593,467,43124,"fitness, equipment",Neutral,karnataka,"25, 40",,facebook,5.468473598,1,"fitness, equipment, karnataka, 25, 40, , facebook"
212,213,Brand59,Travel Services,18-30,All,Delhi,Mia Lee,@mason.w,986579,851,40628,"travel, services",Negative,delhi,"18, 30",,twitter,4.118068599,0,"travel, services, delhi, 18, 30, , twitter"
213,214,Brand95,Fashion Accessories,15-24,All,Kerala,Isabella Moore,@sophia.w,561010,676,12600,"fashion, accessories",Neutral,kerala,"15, 24",female,facebook,2.24594927,0,"fashion, accessories, kerala, 15, 24, female, facebook"
214,215,Brand20,Books,15-24,All,Bihar,Olivia Clark,@jane.doe,868842,130,37776,books,Neutral,bihar,"15, 24",male,tiktok,4.347856112,0,"books, bihar, 15, 24, male, tiktok"
215,216,Brand95,Art Supplies,18-28,Female,Maharashtra,Sophia Wilson,@olivia.c,412419,152,18422,"art, supplies",Neutral,maharashtra,"18, 28",female,instagram,4.466816514,0,"art, supplies, maharashtra, 18, 28, female, instagram"
216,217,Brand82,Fashion Accessories,30-45,All,Maharashtra,John Smith,@john.smith,926561,768,11047,"fashion, accessories",Neutral,maharashtra,"30, 45",male,twitter,1.192258254,0,"fashion, accessories, maharashtra, 30, 45, male, twitter"
217,218,Brand52,Fitness Equipment,18-28,All,Rajasthan,Isabella Moore,@liam.brown,916647,561,9547,"fitness, equipment",Positive,rajasthan,"18, 28",,tiktok,1.041513254,0,"fitness, equipment, rajasthan, 18, 28, , tiktok"
218,219,Brand60,Gadgets,18-25,Female,Bihar,Liam Brown,@mason.w,351659,554,19020,gadgets,Negative,bihar,"18, 25",,tiktok,5.408648719,1,"gadgets, bihar, 18, 25, , tiktok"
219,220,Brand99,Nutrition Products,25-34,Male,Maharashtra,Liam Brown,@mia.lee,808891,252,19591,"nutrition, products",Positive,maharashtra,"25, 34",male,facebook,2.421957965,0,"nutrition, products, maharashtra, 25, 34, male, facebook"
220,221,Brand81,Gadgets,25-40,All,Gujarat,Jane Doe,@mason.w,797091,835,11918,gadgets,Negative,gujarat,"25, 40",male,tiktok,1.495186873,0,"gadgets, gujarat, 25, 40, male, tiktok"
221,222,Brand79,Gadgets,22-40,Male,Karnataka,Emma Taylor,@emma.t,340368,968,29492,gadgets,Neutral,karnataka,"22, 40",,twitter,8.664739341,1,"gadgets, karnataka, 22, 40, , twitter"
222,223,Brand32,Gadgets,30-45,All,Bihar,John Smith,@jane.doe,153175,778,41920,gadgets,Positive,bihar,"30, 45",female,tiktok,27.36739024,1,"gadgets, bihar, 30, 45, female, tiktok"
223,224,Brand44,Gaming Products,18-28,Male,Bihar,Mason White,@sophia.w,496504,892,11975,"gaming, products",Negative,bihar,"18, 28",,twitter,2.411863751,0,"gaming, products, bihar, 18, 28, , twitter"
224,225,Brand41,Books,25-34,Female,Rajasthan,Isabella Moore,@olivia.c,947400,60,32926,books,Negative,rajasthan,"25, 34",,youtube,3.475406375,0,"books, rajasthan, 25, 34, , youtube"
225,226,Brand76,Home Appliances,30-45,Male,Haryana,Mason White,@isabella.m,289840,645,39465,"home, appliances",Neutral,haryana,"30, 45",male,tiktok,13.61613304,1,"home, appliances, haryana, 30, 45, male, tiktok"
226,227,Brand95,Food Products,25-34,Female,Tamil Nadu,Liam Brown,@olivia.c,821895,774,46598,"food, products",Neutral,"tamil, nadu","25, 34",female,facebook,5.669580664,1,"food, products, tamil, nadu, 25, 34, female, facebook"
227,228,Brand57,Cosmetics,18-25,Male,Delhi,Emma Taylor,@mia.lee,223076,929,37224,cosmetics,Neutral,delhi,"18, 25",female,youtube,16.68668974,1,"cosmetics, delhi, 18, 25, female, youtube"
228,229,Brand15,Pet Supplies,30-45,Male,Haryana,Jane Doe,@liam.brown,738362,574,31474,"pet, supplies",Negative,haryana,"30, 45",male,twitter,4.26267874,0,"pet, supplies, haryana, 30, 45, male, twitter"
229,230,Brand73,Gaming Products,15-24,Female,Haryana,Isabella Moore,@olivia.c,973454,965,25421,"gaming, products",Neutral,haryana,"15, 24",female,instagram,2.61142283,0,"gaming, products, haryana, 15, 24, female, instagram"
230,231,Brand2,Fitness Equipment,40-50,Male,Goa,Emma Taylor,@jane.doe,811083,226,25790,"fitness, equipment",Negative,goa,"40, 50",,tiktok,3.179699242,0,"fitness, equipment, goa, 40, 50, , tiktok"
231,232,Brand12,Books,15-24,Female,Goa,John Smith,@isabella.m,275901,120,22513,books,Positive,goa,"15, 24",,twitter,8.159810947,1,"books, goa, 15, 24, , twitter"
232,233,Brand8,Fashion Accessories,15-24,All,Bihar,Emma Taylor,@mia.lee,885122,312,20669,"fashion, accessories",Neutral,bihar,"15, 24",,instagram,2.335158317,0,"fashion, accessories, bihar, 15, 24, , instagram"
233,234,Brand95,Fitness Equipment,18-25,Female,Haryana,John Smith,@john.smith,100729,342,11170,"fitness, equipment",Neutral,haryana,"18, 25",female,instagram,11.08916002,1,"fitness, equipment, haryana, 18, 25, female, instagram"
234,235,Brand85,Smartphones,All,Male,Karnataka,Mason White,@isabella.m,434797,117,5969,smartphones,Negative,karnataka,,male,twitter,1.37282456,0,"smartphones, karnataka, , male, twitter"
235,236,Brand69,Travel Services,22-40,Male,Delhi,John Smith,@liam.brown,995579,325,9472,"travel, services",Negative,delhi,"22, 40",,tiktok,0.951406167,0,"travel, services, delhi, 22, 40, , tiktok"
236,237,Brand39,Clothing,30-45,Female,Rajasthan,Mia Lee,@noah.d,739827,508,44366,clothing,Positive,rajasthan,"30, 45",female,twitter,5.996807362,1,"clothing, rajasthan, 30, 45, female, twitter"
237,238,Brand98,Nutrition Products,30-45,All,Tamil Nadu,Jane Doe,@mia.lee,735464,496,14323,"nutrition, products",Neutral,"tamil, nadu","30, 45",,facebook,1.947478055,0,"nutrition, products, tamil, nadu, 30, 45, , facebook"
238,239,Brand10,Gaming Products,18-28,All,Maharashtra,John Smith,@liam.brown,597440,686,31632,"gaming, products",Positive,maharashtra,"18, 28",male,tiktok,5.294590252,1,"gaming, products, maharashtra, 18, 28, male, tiktok"
239,240,Brand51,Pet Supplies,40-50,Female,Madhya Pradesh,John Smith,@jane.doe,888674,844,31422,"pet, supplies",Negative,"madhya, pradesh","40, 50",male,twitter,3.535829787,0,"pet, supplies, madhya, pradesh, 40, 50, male, twitter"
240,241,Brand36,Art Supplies,18-30,All,Haryana,Isabella Moore,@mason.w,855350,120,37134,"art, supplies",Negative,haryana,"18, 30",female,instagram,4.341380721,0,"art, supplies, haryana, 18, 30, female, instagram"
241,242,Brand56,Pet Supplies,18-30,All,West Bengal,Mason White,@noah.d,737154,955,31848,"pet, supplies",Neutral,"west, bengal","18, 30",male,facebook,4.320399808,0,"pet, supplies, west, bengal, 18, 30, male, facebook"
242,243,Brand36,Food Products,30-45,Male,Punjab,Olivia Clark,@mia.lee,705951,91,5831,"food, products",Negative,punjab,"30, 45",female,tiktok,0.825978007,0,"food, products, punjab, 30, 45, female, tiktok"
243,244,Brand25,Cosmetics,18-30,All,West Bengal,Noah Davis,@sophia.w,316087,473,15452,cosmetics,Neutral,"west, bengal","18, 30",female,instagram,4.888527526,0,"cosmetics, west, bengal, 18, 30, female, instagram"
244,245,Brand78,Travel Services,All,All,Delhi,Jane Doe,@emma.t,779810,808,32382,"travel, services",Negative,delhi,,female,youtube,4.15254998,0,"travel, services, delhi, , female, youtube"
245,246,Brand58,Clothing,22-40,Male,Uttar Pradesh,Liam Brown,@liam.brown,361581,494,11185,clothing,Negative,"uttar, pradesh","22, 40",female,tiktok,3.093359441,0,"clothing, uttar, pradesh, 22, 40, female, tiktok"
246,247,Brand42,Clothing,18-28,Male,Punjab,Emma Taylor,@john.smith,151635,289,31774,clothing,Neutral,punjab,"18, 28",female,tiktok,20.95426518,1,"clothing, punjab, 18, 28, female, tiktok"
247,248,Brand78,Pet Supplies,25-40,Male,West Bengal,Liam Brown,@emma.t,488259,845,26735,"pet, supplies",Positive,"west, bengal","25, 40",male,tiktok,5.475577511,1,"pet, supplies, west, bengal, 25, 40, male, tiktok"
248,249,Brand60,Food Products,22-40,Male,Bihar,Sophia Wilson,@jane.doe,515399,376,39022,"food, products",Positive,bihar,"22, 40",female,youtube,7.57122152,1,"food, products, bihar, 22, 40, female, youtube"
249,250,Brand83,Eco-friendly Goods,All,Female,Karnataka,Emma Taylor,@john.smith,677377,394,36937,"eco, friendly, goods",Neutral,karnataka,,,youtube,5.452945701,1,"eco, friendly, goods, karnataka, , , youtube"
