id,brand_name,product_category,audience_age,audience_gender,audience_location
527,Brand32,Gaming Products,25-34,Female,Kerala
528,Brand84,Clothing,40-50,Male,Bihar
529,Brand50,Smartphones,All,Male,Kerala
530,Brand98,Smartphones,30-45,Male,Rajasthan
531,Brand75,Smartphones,18-30,All,India
532,Brand87,Pet Supplies,30-45,Female,Kerala
533,Brand18,Books,40-50,Male,Delhi
534,Brand87,Travel Services,18-30,Female,Uttar Pradesh
535,Brand9,Books,25-40,Female,Bihar
536,Brand48,Cosmetics,18-30,Male,Punjab
537,Brand46,Gadgets,18-28,Male,West Bengal
538,Brand52,Books,18-25,All,Kerala
539,Brand48,Fitness Equipment,30-45,Male,Gujarat
540,Brand33,Pet Supplies,18-25,All,India
541,Brand60,Gadgets,15-24,Female,Haryana
542,Brand48,Clothing,25-40,Male,West Bengal
543,Brand83,Art Supplies,18-30,All,Punjab
544,Brand38,Fitness Equipment,25-40,Female,Haryana
545,Brand9,Cosmetics,18-30,All,Tamil Nadu
546,Brand54,Food Products,18-28,Female,Uttar Pradesh
547,Brand82,Gaming Products,All,Female,Madhya Pradesh
548,Brand47,Pet Supplies,30-45,All,Punjab
549,Brand18,Fashion Accessories,All,Female,India
550,Brand97,Cosmetics,40-50,Female,Tamil Nadu
551,Brand94,Eco-friendly Goods,All,All,Bihar
552,Brand18,Pet Supplies,30-45,Male,Maharashtra
553,Brand15,Clothing,25-34,All,Rajasthan
554,Brand95,Home Appliances,40-50,All,Delhi
555,Brand39,Books,40-50,All,Maharashtra
556,Brand24,Pet Supplies,30-45,Female,Kerala
557,Brand34,Home Appliances,18-28,All,Bihar
558,Brand9,Pet Supplies,25-34,Male,Goa
559,Brand41,Travel Services,15-24,Male,Tamil Nadu
560,Brand42,Fashion Accessories,25-40,All,India
561,Brand65,Travel Services,18-30,All,Tamil Nadu
562,Brand55,Gaming Products,All,Male,Bihar
563,Brand60,Smartphones,18-30,Female,Delhi
564,Brand56,Food Products,All,All,Tamil Nadu
565,Brand9,Food Products,15-24,Female,Madhya Pradesh
566,Brand54,Cosmetics,15-24,All,Kerala
567,Brand28,Cosmetics,15-24,All,West Bengal
568,Brand4,Pet Supplies,18-25,All,Uttar Pradesh
569,Brand12,Smartphones,All,Female,Haryana
570,Brand58,Clothing,25-34,Male,India
571,Brand72,Travel Services,All,All,Haryana
572,Brand46,Gadgets,All,All,Haryana
573,Brand29,Pet Supplies,All,All,Uttar Pradesh
574,Brand88,Home Appliances,30-45,Male,Uttar Pradesh
575,Brand11,Cosmetics,40-50,All,Goa
576,Brand94,Cosmetics,25-40,Female,Maharashtra
577,Brand52,Nutrition Products,25-40,Male,Bihar
578,Brand1,Nutrition Products,15-24,Male,Madhya Pradesh
579,Brand31,Nutrition Products,22-40,Female,Kerala
580,Brand52,Nutrition Products,15-24,All,Punjab
581,Brand59,Home Appliances,18-30,Male,Delhi
582,Brand3,Books,18-28,All,Tamil Nadu
583,Brand73,Home Appliances,40-50,All,Karnataka
584,Brand17,Smartphones,18-30,All,Punjab
585,Brand45,Fitness Equipment,40-50,Male,Haryana
586,Brand53,Gaming Products,25-34,Male,Bihar
587,Brand57,Fashion Accessories,18-25,Male,Delhi
588,Brand16,Travel Services,40-50,Male,Maharashtra
589,Brand95,Gaming Products,15-24,All,Madhya Pradesh
590,Brand44,Cosmetics,All,Male,Punjab
591,Brand5,Fitness Equipment,25-40,Male,Delhi
592,Brand86,Food Products,30-45,Female,West Bengal
593,Brand11,Cosmetics,18-30,All,Rajasthan
594,Brand70,Gaming Products,30-45,Female,Maharashtra
595,Brand2,Clothing,18-28,Female,Tamil Nadu
596,Brand8,Travel Services,18-30,All,Tamil Nadu
597,Brand80,Pet Supplies,30-45,Female,Madhya Pradesh
598,Brand29,Eco-friendly Goods,18-25,All,Goa
599,Brand7,Gaming Products,25-40,All,Rajasthan
600,Brand89,Fitness Equipment,22-40,All,Tamil Nadu
